id,condition_id,trial_id,created_at,updated_at
68,11,52,2015-03-30 02:32:52.607571,2015-03-30 02:32:52.607571
69,10,53,2015-03-30 02:35:04.983546,2015-03-30 02:35:04.983546
70,11,53,2015-03-30 02:35:04.985211,2015-03-30 02:35:04.985211
71,12,53,2015-03-30 02:35:04.991058,2015-03-30 02:35:04.991058
72,10,54,2015-03-30 02:36:59.810716,2015-03-30 02:36:59.810716
73,13,54,2015-03-30 02:36:59.81746,2015-03-30 02:36:59.81746
74,12,55,2015-03-30 02:38:45.448058,2015-03-30 02:38:45.448058
75,14,56,2015-03-30 02:41:23.801328,2015-03-30 02:41:23.801328
76,15,56,2015-03-30 02:41:23.804038,2015-03-30 02:41:23.804038
77,16,56,2015-03-30 02:41:23.806963,2015-03-30 02:41:23.806963
78,15,57,2015-03-30 02:43:51.992441,2015-03-30 02:43:51.992441
79,17,57,2015-03-30 02:43:52.002436,2015-03-30 02:43:52.002436
80,14,58,2015-03-30 02:46:00.876809,2015-03-30 02:46:00.876809
81,15,58,2015-03-30 02:46:00.87874,2015-03-30 02:46:00.87874
82,18,58,2015-03-30 02:46:00.885823,2015-03-30 02:46:00.885823
83,15,59,2015-03-30 02:47:24.530655,2015-03-30 02:47:24.530655
84,14,60,2015-03-30 02:49:29.742492,2015-03-30 02:49:29.742492
85,15,60,2015-03-30 02:49:29.743987,2015-03-30 02:49:29.743987
86,14,61,2015-03-30 02:52:04.417304,2015-03-30 02:52:04.417304
87,15,61,2015-03-30 02:52:04.418826,2015-03-30 02:52:04.418826
88,17,61,2015-03-30 02:52:04.420087,2015-03-30 02:52:04.420087
89,19,61,2015-03-30 02:52:04.426687,2015-03-30 02:52:04.426687
90,14,62,2015-03-30 02:54:07.981848,2015-03-30 02:54:07.981848
91,15,62,2015-03-30 02:54:07.983434,2015-03-30 02:54:07.983434
92,17,62,2015-03-30 02:54:07.984737,2015-03-30 02:54:07.984737
93,15,63,2015-03-30 02:55:43.929548,2015-03-30 02:55:43.929548
94,17,63,2015-03-30 02:55:43.931152,2015-03-30 02:55:43.931152
95,15,64,2015-03-30 02:57:21.973779,2015-03-30 02:57:21.973779
96,15,65,2015-03-30 02:59:08.344009,2015-03-30 02:59:08.344009
97,19,65,2015-03-30 02:59:08.345928,2015-03-30 02:59:08.345928
98,20,66,2015-03-30 03:07:33.919155,2015-03-30 03:07:33.919155
99,20,67,2015-03-30 03:09:34.928966,2015-03-30 03:09:34.928966
100,21,67,2015-03-30 03:09:34.938024,2015-03-30 03:09:34.938024
101,22,67,2015-03-30 03:09:34.940318,2015-03-30 03:09:34.940318
102,20,68,2015-03-30 03:10:51.655626,2015-03-30 03:10:51.655626
103,20,69,2015-03-30 03:12:13.544563,2015-03-30 03:12:13.544563
104,20,70,2015-03-30 03:14:03.184241,2015-03-30 03:14:03.184241
105,20,71,2015-03-30 03:16:49.596753,2015-03-30 03:16:49.596753
106,20,72,2015-03-30 03:18:28.583953,2015-03-30 03:18:28.583953
107,20,73,2015-03-30 03:20:31.107896,2015-03-30 03:20:31.107896
108,20,74,2015-03-30 03:21:54.583686,2015-03-30 03:21:54.583686
109,20,75,2015-03-30 03:23:58.772831,2015-03-30 03:23:58.772831
110,23,75,2015-03-30 03:23:58.778231,2015-03-30 03:23:58.778231
111,24,76,2015-03-30 03:26:58.825833,2015-03-30 03:26:58.825833
112,24,77,2015-03-30 03:28:30.78861,2015-03-30 03:28:30.78861
113,24,78,2015-03-30 03:30:17.303896,2015-03-30 03:30:17.303896
114,25,78,2015-03-30 03:30:17.314515,2015-03-30 03:30:17.314515
115,24,79,2015-03-30 03:32:11.767723,2015-03-30 03:32:11.767723
116,24,80,2015-03-30 03:33:27.362525,2015-03-30 03:33:27.362525
117,26,81,2015-03-30 03:36:00.342601,2015-03-30 03:36:00.342601
118,26,82,2015-03-30 03:37:01.492586,2015-03-30 03:37:01.492586
119,26,83,2015-03-30 03:38:23.233618,2015-03-30 03:38:23.233618
120,26,84,2015-03-30 03:39:22.23317,2015-03-30 03:39:22.23317
121,26,85,2015-03-30 03:40:57.681088,2015-03-30 03:40:57.681088
122,3,86,2015-03-30 03:43:57.801013,2015-03-30 03:43:57.801013
123,3,87,2015-03-30 03:45:38.029791,2015-03-30 03:45:38.029791
124,3,88,2015-03-30 03:47:05.986882,2015-03-30 03:47:05.986882
125,3,89,2015-03-30 03:48:39.966823,2015-03-30 03:48:39.966823
126,3,90,2015-03-30 03:49:59.492519,2015-03-30 03:49:59.492519
127,27,90,2015-03-30 03:49:59.502567,2015-03-30 03:49:59.502567
128,3,91,2015-03-30 03:52:43.535041,2015-03-30 03:52:43.535041
129,3,92,2015-03-30 03:54:07.10725,2015-03-30 03:54:07.10725
130,3,93,2015-03-30 03:55:15.409841,2015-03-30 03:55:15.409841
131,3,94,2015-03-30 03:56:27.22492,2015-03-30 03:56:27.22492
132,3,95,2015-03-30 03:57:53.275898,2015-03-30 03:57:53.275898
133,28,96,2015-03-30 03:59:43.232676,2015-03-30 03:59:43.232676
134,28,97,2015-03-30 04:01:20.849407,2015-03-30 04:01:20.849407
135,28,98,2015-03-30 04:02:44.7226,2015-03-30 04:02:44.7226
136,28,99,2015-03-30 04:04:11.667283,2015-03-30 04:04:11.667283
137,28,100,2015-03-30 04:05:34.594819,2015-03-30 04:05:34.594819
