id,name,description,location,start_on,estimated_completed_on,number_of_views,number_of_appearances,doctor_id,created_at,updated_at,archived,primary_contact_email,principal,active,longitude,latitude
31,Early-onset and Late-onset Sporadic Alzheimer's Disease (AD),"Alzheimer's disease (AD) is usually associated with aging, age being the principal identified risk factor. However, younger subjects also develop AD and the prevalence of early onset AD is unknown. It is estimated that about 30 000 subjects develop symptoms of AD before the age of 65 in France. There is evidence that early onset AD differs from AD in older patients. In particular, clinical and neuroimaging studies suggest early involvement of neocortical brain regions and their functions in early onset AD, while mediotemporal areas and memory might be more involved in late onset AD. These differences could partly explain the atypical clinical and imaging features of younger patients, the diagnostic difficulties in these patients and the specific problems related to medical care of this age group. The present study uses a multidisciplinary approach with longitudinal followup in order to establish the impact of age on the clinical and neuroimaging picture of sporadic AD in a multicentric setting. Another aim of the project is to describe for each age group, and in particular for the younger patient group, the functional impact of disability in everyday life on both, patients and caregivers.","757 Westwood Plaza, Los Angeles, CA, United States",2015-10-01,2015-12-31,,,26,2015-03-30 01:31:22.529734,2015-03-30 01:31:22.529734,,imoscar@ucla.com,Dr. Oscar Bluth,t,-118.4457428,34.0661172
32,Resveratrol for Alzheimer's Disease,"Resveratrol is derived from plants and is found in highest levels in red wine and the skin of red grapes. A recent study reported that monthly and weekly consumption of red wine is associated with a lower risk of dementia. There is compelling evidence that caloric restriction can improve overall health by activating a class of enzymes known as Sirtuins. Resveratrol is a substance found in some plants that directly activates sirtuins, mimicking the effects of caloric restriction and may affect regulatory pathways of diseases of aging, including Alzheimer's disease (AD).
In this study, people with AD will be given either Resveratrol or placebo for 12 months to determine whether daily resveratrol therapy is beneficial in delaying or altering the deterioration of memory and daily functioning. Subjects age 50 and above with a diagnosis of probable AD may qualify for participation in this study. A small group of 15 participants will be asked to take part in a more detailed 24-hour Pharmacokinetic (PK) sub-study that will measure resveratrol levels over a 24 hour period.","757 Westwood Plaza, Los Angeles, CA, United States",2015-09-30,2015-11-26,,,26,2015-03-30 01:33:09.59716,2015-03-30 01:33:09.59716,,imoscar@ucla.com,Dr. Oscar Bluth,t,-118.4457428,34.0661172
33,"Evaluation of the Efficacy of Varenicline on Cognition, Safety, Tolerability and Pharmacokinetics in Subjects With Mild-to-Moderate Alzheimer's Disease","Assess the efficacy of varenicline, relative to placebo, on a performance based measure of cognition in patients with mild to moderate Alzheimer's disease
Evaluate the effects of varenicline on clinically relevant measures including attention and executive function, behavior, and clinician rated global change.
Evaluate the safety and tolerability of varenicline, relative to placebo, in patients with mild to moderate Alzheimer's disease
Evaluate the pharmacokinetics of varenicline in patients with mild to moderate Alzheimer's disease.","757 Westwood Plaza, Los Angeles, CA, United States",2015-11-18,2016-01-21,,,26,2015-03-30 01:35:13.895533,2015-03-30 01:35:13.895533,,imoscar@ucla.com,Dr. Oscar Bluth,t,-118.4457428,34.0661172
46,Piloting IVR (Interactive Voice Response) for Chronic Pain Treatment,"This study is designed to develop and test the use of Interactive Voice Response (IVR) technology to deliver pain management treatment. IVR allows individuals to receive and provide information by using their touchtone telephone. This will allow more people with chronic pain to receive treatment even if they are not able to drive to an appointment regularly. In the first part of the study, the investigators will develop new materials like patient handbooks and pre-recorded explanations about common pain control techniques. In the second part of the study, a small number of persons with chronic pain will receive treatment using the new materials. We will ask for their feedback about how well they liked using the new materials and if the materials are understandable. This will allow us to revise the materials if we need to prior to studying them with a larger group of people with chronic pain.","170 Manning Drive, Chapel Hill, NC, United States",2015-10-21,2015-10-27,,,67,2015-03-30 02:17:39.144727,2015-03-30 02:17:39.144727,,lcuddy@unc.com,Dr. Lisa Cuddy,t,-79.0498218,35.9026439
34,A Pilot Trial of Interferon Beta-1a in Alzheimer's Disease (REAL),"Alzheimer's disease is characterized by progressive cognitive impairment resulting from neuronal loss. The primary pathological feature of the disease is the extracellular deposition of fibrillary amyloid and its compaction into senile plaques. The senile plaque is the focus of a complex cellular reaction involving the activation of both microglia and astrocytes adjacent to the amyloid plaque. In fact, microglias are the most abundant and prominent cellular components associated with these plaques. Plaque-associated microglia exhibits a reactive or activated phenotype. Through the acquisition of a reactive phenotype, microglia responds to various stimuli, as is evident by the increased expression of numerous cell-surface molecules, including major histocompatibility complex (MHC) class-II antigens and complement receptors.
Traditionally, multiple sclerosis (MS) has been considered a ""demyelinating"" disease. Recent immunocytochemical studies suggest that MS may be more than a demyelinating disorder, and that even in early stages of the disease, MS pathological scenario envisages axonal damage. Interferons, the modern therapeutic strategies for the treatment of MS, are cytokines - proteins which lead to a network of signals within different cells. In the immune system, IFNs act at different levels. For example, IFNs increase the expression of MHC class II antigens and, thereby, facilitate the antigen-presenting process and the activation of lymphocytes. T-lymphocytes are important targets of IFN immunomodulation. In MS, it is believed that IFN beta suppresses the production of proinflammatory cytokines such as IFN-γ and TNF-α, and increases the production of immunosuppressive cytokines such as interleukin-4 (IL-4) and IL-10. Since the activation of microglia and astrocytes is common to both AD and MS, IFN beta could have therapeutic applications in the treatment of AD. Furthermore, recent studies have also found that through astrocyte production, IFNs promote the activation of nerve-growth factor.","757 Westwood Plaza, Los Angeles, CA, United States",2015-10-28,2015-12-24,,,26,2015-03-30 01:37:19.581226,2015-03-30 01:37:19.581226,,imoscar@ucla.com,Dr. Oscar Bluth,t,-118.4457428,34.0661172
35,Study of the Safety & Efficacy of Leukine® in the Treatment of Alzheimer's Disease,"Preliminary preclinical results demonstrated that GM-CSF (Leukine®/Sargramostim) rapidly reduced cerebral amyloid deposition and completely reversed memory deficits in transgenic mouse models of Alzheimer's Disease (AD). To assess the efficacy of GM-CSF in humans, we performed a retrospective analysis of a cognition study of human patients undergoing hematopoietic cell transplantation for cancer and who garner cognitive impairments from the chemotherapy or irradiation. In the patients that received a colony-stimulating factor (CSF) to stimulate the bone marrow and recover immune system function, we found that those who received GM-CSF (Leukine®/Sargramostim) plus G-CSF (Filigrastim) significantly improved in cognitive function as compared to those who received G-CSF alone. These findings combined with over two decades of accrued safety data using recombinant human GM-CSF, Leukine®/Sargramostim, in elderly leukopenic patients, suggested that Leukine® should be tested as a treatment to reverse cerebral amyloid pathology and cognitive impairment in AD.","757 Westwood Plaza, Los Angeles, CA, United States",2015-10-28,2016-01-28,,,26,2015-03-30 01:39:13.859657,2015-03-30 01:39:13.859657,,imoscar@ucla.com,Dr. Oscar Bluth,t,-118.4457428,34.0661172
36,Benfotiamine in Alzheimer's Disease: A Pilot Study,"Study Objectives The goal of this proposal is to determine whether enhancing brain glucose utilization minimizes cognitive decline in patients with Amnestic Mild Cognitive Impairment (AMCI) or mild Alzheimer's disease (AD) dementia. We propose a proof of concept double-blind, placebo controlled pilot study to determine if increasing brain thiamine availability with the investigational new drug benfotiamine, will minimize the decline in glucose utilization and slow the cognitive decline associated with the progression AMCI/AD dementia.
","170 Manning Drive, Chapel Hill, NC, United States",2015-10-21,2015-11-27,,,66,2015-03-30 01:43:12.820538,2015-03-30 01:43:12.820538,,dhewitt@unc.com,Dr. David Hewitt,t,-79.0498218,35.9026439
37,Progress of Mild Alzheimer's Disease in Participants on Solanezumab Versus Placebo (EXPEDITION 3),To test the idea that solanezumab will slow the cognitive and functional decline of Alzheimer's Disease (AD) as compared with placebo in participants with mild AD.,"170 Manning Drive, Chapel Hill, NC, United States",2015-12-02,2015-12-23,,,66,2015-03-30 01:45:02.735659,2015-03-30 01:45:02.735659,,dhewitt@unc.com,Dr. David Hewitt,t,-79.0498218,35.9026439
38,Preliminary Efficacy and Safety Study of ST101 in Alzheimer's Disease,"Alzheimer's disease (AD) is a progressive and fatal neurological illness. It produces changes in the brain that include loss of cells and accumulation of abnormal protein deposits. Initial symptoms are cognitive, with deficiencies in short-term memory the most common symptom. As the disease progresses so does the severity of cognitive deficiency. Loss of speech and immobility occur in the terminal stages There is no cure for AD and no marketed treatment that modifies the underlying disease process. Available therapies improve some symptoms of AD by increasing brain concentrations of molecules involved in cognition. ST101 differs from marketed therapies in that it has demonstrated two actions in animal research testing. It improves cognition and it also reduces the accumulation of abnormal protein deposits in the brain. These two properties suggest that ST101 may be a promising agent for the treatment of AD. This study is designed as a preliminary dose exploration/proof-of-concept investigation of the ability of ST101 to improve cognition during 12 weeks of administration.","170 Manning Drive, Chapel Hill, NC, United States",2015-11-25,2016-02-24,,,66,2015-03-30 01:46:46.98698,2015-03-30 01:46:46.98698,,dhewitt@unc.com,Dr. Dave Hewitt,t,-79.0498218,35.9026439
39,Safety and Cognitive Function Study of EVP-6124 in Patients With Mild to Moderate Alzheimer's Disease,"This is a randomized, double-blind, placebo-controlled, parallel, 24-week, Phase 2 safety/efficacy study in which three dose levels of EVP-6124 or placebo will be evaluated. Eligible for enrollment will be patients who meet clinical criteria for mild to moderate probable Alzheimer's disease who are either receiving treatment with AChEI medication at a stable dose or who are not presently taking any AChEI or memantine co-medication.
Patients will be randomized to one of the following groups: 0.3 mg, 1 mg or 2 mg or Placebo. Approximately 400 subjects will be randomized to the 4 treatment groups. Study drug will be supplied as capsules and will be orally administered once daily for a total of 24 weeks.","170 Manning Drive, Chapel Hill, NC, United States",2015-08-19,2015-10-28,,,66,2015-03-30 01:48:29.835025,2015-03-30 01:48:29.835025,,dhewitt@unc.com,Dr. Dave Hewitt,t,-79.0498218,35.9026439
40,ELND005 in Patients With Mild to Moderate Alzheimer's Disease,"ELND005 (formerly known as AZD-103), scyllo-inositol, is being investigated as an orally administered treatment for AD. ELND005 may prevent or inhibit the build up of amyloid protein in the brains of AD patients.
This is a randomized, double-blind, placebo-controlled, dose-ranging, safety and efficacy study of oral ELND005 in male and female participants aged 50-85 years with mild to moderate AD. Approximately 340 patients will be enrolled into the study at approximately 65 study sites. Patients will be randomized to receive either ELND005 or placebo. Each patient's participation will last approximately 18 months.
","170 Manning Drive, Chapel Hill, NC, United States",2015-12-02,2016-01-27,,,66,2015-03-30 01:49:48.310686,2015-03-30 01:49:48.310686,,dhewitt@unc.com,Dr. Dave Hewitt,t,-79.0498218,35.9026439
47,Virtual Reality Hypnosis for Chronic Pain Reduction (VRHChP),"We would like to determine how well hypnosis works when induced through virtual reality medium for patients who have suffered a major burn injury in the past two years and suffer from chronic pain. These patients are coming back to the outpatient burn and plastic clinic at Harborview Medical Center for routine follow-up. We think that patients will find VR-Hypnosis interesting, and it will help them relax and feel less pain.","170 Manning Drive, Chapel Hill, NC, United States",2015-10-21,2015-12-04,,,67,2015-03-30 02:19:15.37731,2015-03-30 02:19:15.37731,,lcuddy@unc.com,Dr. Lisa Cuddy,t,-79.0498218,35.9026439
